id,referenced_id,turn_strategy
1.3359131307113715e+18,1335892654832320513,['Hostile language']
1.336107858140803e+18,1335916733148913665,['Hostile language']
1.3359613701273805e+18,1335916733148913665,['Denouncing']
1.3359888799214428e+18,1335977737719308294,['Denouncing']
1.3359821165265467e+18,1335977737719308294,['Denouncing']
1.3360554964495647e+18,1335977737719308294,['Hostile language']
1.336048127753638e+18,1335977737719308294,['Hostile language']
1.3360212526458716e+18,1335977737719308294,['Hostile language']
1.336015648758108e+18,1335977737719308294,['Hostile language']
1.3360062777307136e+18,1335977737719308294,"['Denouncing', 'Hostile language']"
1.335999664944894e+18,1335977737719308294,['Hostile language']
1.3359981491193856e+18,1335977737719308294,"['Humor and sarcasm', 'Hostile language']"
1.3359971531735163e+18,1335977737719308294,['Hostile language']
1.3359835555041157e+18,1335977737719308294,['Presenting facts']
1.33598224134486e+18,1335977737719308294,['Humor and sarcasm']
1.3359810781259448e+18,1335977737719308294,['Hostile language']
1.3359788106600202e+18,1335977737719308294,['Hostile language']
1.335978625078874e+18,1335977737719308294,['Humor and sarcasm']
1.3359894128076431e+18,1335988503465738241,"['Humor and sarcasm', 'Hostile language']"
1.335998198431801e+18,1335988503465738241,['Denouncing']
1.3359979883600036e+18,1335988503465738241,['Denouncing']
1.3375861218370803e+18,1336028355985018883,"['Denouncing', 'Hostile language']"
1.3375878755383255e+18,1336028355985018883,['Hostile language']
1.3361501504992174e+18,1336124727723700224,['Humor and sarcasm']
1.3363280057617367e+18,1336317205991055366,['Humor and sarcasm']
1.3366547874677637e+18,1336645971653111811,"['Pointing out hypocrisy or contradiction', 'Humor and sarcasm']"
1.3368196213332337e+18,1336798651042193410,"['Humor and sarcasm', 'Positive tone']"
1.3371372886192579e+18,1336900160790667265,['Humor and sarcasm']
1.336942957660934e+18,1336900160790667265,"['Denouncing', 'Hostile language']"
1.3372451109548237e+18,1337192359994548224,"['Denouncing', 'Counter question']"
1.3372509453070828e+18,1337192499199275008,['Humor and sarcasm']
1.3378820073852805e+18,1337204268286111747,"['Denouncing', 'Hostile language']"
1.337567088936796e+18,1337204268286111747,['Hostile language']
1.3374432796887572e+18,1337204268286111747,['Presenting facts']
